training_site,xBR,xDC,xDJ,xDL,xDS,xHA,xKZ,xML,xNG,xRM,xSB,xSC,xSE,xSL,xST,xTL,xTR,xUK,xUN,xWD,xWR
xBR,0.7619045665413213,0.17605751874394104,-0.3131201045979757,-2.6177592798660445,-92.08473314393592,0.71229359557986,-3.2714064264567133,0.5975291612749636,-3.6109974119945702,0.6688325300609208,-55.498075603984574,-0.40568723895522085,0.04683844647625912,-183.12934632903554,0.8177853700541599,-0.6403853930237111,0.746592293807717,0.19162252849730133,0.47236435747044225,-1.5212832475603495,0.31245993322321597
xDC,0.5466524787512461,0.8403946554646661,0.4302577076953714,-1.2385669622363307,-25.318448112341184,0.6889793818822674,0.16724211106485265,0.5160173174298262,0.7641782718744086,0.44851026802551097,-2.29545735954151,0.07101731296399971,0.3277026423027789,-8.866347761727205,0.844288450658419,0.2800346248353034,0.7437749583365312,0.6955978627394721,0.774311557637744,0.5546291648675176,0.03898034358127578
xDJ,0.36387257131260664,0.5471319728189932,0.765230016299397,-0.36270362630748365,-14.076285641343675,-0.19226530294624178,0.3342969145649475,-0.5956603117372172,0.6827458385083018,0.27751107449750234,-0.5605435195761619,-1.5031931205500277,-0.15517008519788877,-1.76972673193462,0.5878878923217998,-0.005147422498485099,0.4559573351449622,0.14071092905778815,0.415350718167966,0.5088426158475794,-0.13641271270634237
xDL,0.11386811449753798,0.544350077938923,0.2597584717932747,0.8337525779574348,-7.122115727440892,0.37814047437448617,-1.4981938623880136e+271,0.06314928329737557,0.5734792485761226,-0.01685353849578375,-1.1272056255535028,0.31399214839524303,0.6445753295906127,-13.653061833044553,0.5637689668695633,-3.0426489886768558e+274,0.46376726771347987,0.6647920380328214,0.48290146305358417,-3.067790799071633e+272,-0.3714734850810504
xDS,-0.18521847062614216,0.18311349411717448,0.2304673457954468,-0.11147687409753071,0.7027686616434687,-0.14029788636241092,0.41587546137309417,-0.43699772270048376,0.4585441858948621,-0.14011344779102752,0.5932694595242702,-0.6725050928419849,-0.1266391401825766,0.04476475382193712,0.09328690610448687,0.13468477916694088,0.07957641289093442,-0.012874179081457493,0.18526423171583917,0.34539117241037387,-0.8163053523862989
xHA,0.6187175825942931,0.7096291824004891,0.7006837508010835,-0.21069628771104276,-26.404257774598214,0.7804057590021533,-0.020226573702135653,0.568718423876487,0.1841944054276815,0.704938641283143,-6.878268915573107,0.3158666426394494,0.5506020709610641,-21.515263056105223,0.8785165104930054,0.010813153531962438,0.74256543374151,0.8106494847323744,0.8247665106761812,0.3540089669029167,0.2922243941988183
xKZ,-0.23431666705187681,0.39420916557514185,-0.01049809821072678,0.5761263666210579,-9.835676892433415,0.049834389087740516,0.8585436965129573,-0.11812175584752493,0.7076579155794324,-0.4353647832320964,-1.55724286253027,0.13580900371699778,0.33669949290991175,-16.445465222383852,0.27756243737215447,0.21717949403113046,0.23660779711736968,0.32734617364521945,0.14354580535936545,0.5402587568884258,-0.7569635807151749
xML,0.6263055808565541,0.4297679118078934,-0.034946416331076424,-2.785243624618264,-92.65007056959212,0.6763851058142851,-2.3947286906088903,0.7651036182298121,-2.398405204992685,0.5479952393377134,-70.58969740266177,0.03510681862385867,0.1769129259441331,-105.46957676025113,0.839504420886255,-0.01126887653482278,0.7299689282886936,0.24193126925886643,0.6573794399586148,-0.7944721451587049,0.15912562531852914
xNG,0.06220075143776471,0.6291155342315031,0.09996090999732532,-0.4434379401679662,-27.600857532301905,0.10747191714107629,0.6152558812873181,0.1676662781680195,0.850195960688731,-0.35207421144788054,-3.8073969789930606,-0.11318428289656812,0.3665548491938534,-10.99592704046658,0.38991530948882014,0.43741670654034215,0.37491041833720873,0.4443504511662917,0.43892341324550976,0.6958108999771311,-0.5196027939175742
xRM,0.5755533252222109,0.43153235800995116,0.33197265647287477,-0.6767722581904312,-61.5155109822744,0.5283070418703618,-2.5774708380010963e+31,0.5104696472121086,0.16246185793497303,0.8367660458110397,-24.293035624784675,-0.16652754884364307,-0.2695425943859535,-139.60463203542852,0.7121724070088827,-1.6313255908918964e+37,0.5331529387711376,-0.22227759367069266,0.5798471275450283,-6.825803988998863e+30,0.08019856509415502
xSB,0.1952430302161421,0.4450144733825464,0.5318475184054621,0.5157012732417445,-0.025506405516603214,0.30695643043741205,0.6495497336735809,0.05331709616482949,0.6106642295722877,0.33411847756649615,0.8566596410987181,0.11077591175030754,0.4095245078919011,-1.2510806508852155,0.49481458701145475,0.13464103161992602,0.37030764403450767,0.41209216389715897,0.506822015426319,0.5489555866475903,-0.3707602604307636
xSC,0.22808263763619274,0.6210549961118108,0.30030965583521385,0.5978330240770875,-11.94730092576334,0.5449651655449423,0.7209161561772508,0.36335164766687156,0.6726605627456312,0.41546866582390274,-2.3054125594093935,0.7048106261957423,0.6723248543800021,-16.231257396546752,0.7181327429646405,0.22293053802428597,0.5556254797581737,0.7073348554125326,0.5431054208768673,0.6647168387409148,-0.1630679642287094
xSE,0.4780486938262757,0.6923730627785525,0.5240266377342471,0.743750470747701,-10.579738284379735,0.6232119301643347,0.6330018188098363,0.4087578465852628,0.6267968506773539,0.5452868555427839,-0.8211449360194787,0.46573832284757466,0.770588580223042,-14.926184595440843,0.7919842807418758,-0.10472813812291393,0.6319736435396333,0.7718779832199715,0.6993701092915539,0.6391174314502504,0.06012195502671125
xSL,-0.6393996801760276,-0.024034577011279312,-0.1644451151680566,-0.07846884449294023,-0.10073123819503693,-0.16134488155138893,0.32299075986645787,-0.8283123124653435,0.08002042244696472,-1.0260655830949217,-0.5945432344303903,-0.696366782054205,-0.18725871612535228,0.7701610538254969,-0.03821842645618401,0.22734120441031946,-0.06195611979542104,-0.30819074473399777,-0.4162351652366785,-0.0722025220276743,-1.432625265318829
xST,0.6074404659873605,0.7429700200431124,0.45226688217207245,-0.1330746522168329,-27.356782601652178,0.7596140402296904,0.09735215108594186,0.6397788417627703,0.2665496994091384,0.6419300427798114,-6.645873515119301,0.45164218404448087,0.644117521023917,-32.169223873448516,0.914573326680475,0.3348911728503904,0.7584203699514077,0.843405124488206,0.7722937358861057,0.402925902675889,0.2418102496597231
xTL,-149282151930975.2,-8185119464.753225,-1961702822434.7708,-1744572352547905.8,-128057918405235.14,-2.5193417113986204e+16,-801416546814248.4,-2364880154831486.0,-9644735.128213026,-516847442873349.3,-12992393.092380451,-8391537794252457.0,-1227875414386509.0,-905194963913559.8,-167332612366683.8,0.6751660471650435,-1447302909590.0173,-2365189654329092.5,-8197445.792427676,-15825266452031.223,-1032207085926140.2
xTR,0.6025352651105487,0.40428371560790777,-0.03395346832117174,-3.740229063720169,-123.69931858909275,0.707480019755303,-2.980219955076158,0.6605448350112506,-2.0592684309478653,0.5952406924863397,-65.66954532221985,-0.3281977817281587,0.13061189765756354,-184.77722939714093,0.8756887692566385,0.380479929396068,0.7717677468214612,0.5221763180467103,0.6967013821658024,-0.6938704648483278,0.07609646114288382
xUK,0.4706110621231071,0.7029663857417608,0.44159998369339537,-0.1487563953179185,-33.38719781617919,0.6774805784035334,-3169503597.64673,0.6072829901170793,0.25494547561960845,0.49069708385795574,-12.28259826833293,0.49929303706672246,0.6672390861332173,-32.573750589835875,0.8459469513000926,-37805.20592423872,0.695281503553753,0.8626944463904802,0.7532292673645425,-881341566.2495701,0.0888559858409318
xUN,0.6513008362982219,0.6663346321695691,0.7095894653880055,-0.08340063463268432,-31.796002186396215,0.7637051617509331,-0.28005654546325887,0.6970461922246749,-0.37366859011618714,0.6865336799595936,-14.14841509513472,0.4590914658548293,0.6329301222676468,-51.376077961411376,0.9033920541111081,0.3255148324152184,0.7564168279139605,0.8112173632241917,0.8902510674557024,0.15226423936935507,0.3806612145956747
xWD,0.2896595441696309,0.6635828103136869,0.3804691215464251,0.6232823208691954,-5.251244417891399,0.453390921211309,0.7695639736251879,0.4412599519585896,0.8190198236080143,0.20463404539287766,-1.142937773897268,0.24489586942497055,0.526784299931461,-3.2321159985879913,0.6670864168274546,0.4392858094133528,0.5229657686393892,0.5416026235820879,0.6383559139385717,0.7675382939758117,-0.27709291902646704
xWR,0.6512350998491341,0.5800631382892789,0.2824441199211204,-0.6920931307386451,-20.127400579979295,0.5979611370638334,-0.3972976156065531,0.37177204482323734,-0.4619015023874473,0.42882739689268035,-5.826324546192162,-0.07387446563716504,0.011199670864326272,-14.485481238402002,0.565686105185095,-3.087012304860119,0.6440055234961883,0.565486311827226,0.4178308991477221,-0.4258151587395185,0.6660661948072006
