Site_ID,mean_r2_test,mean_r2_train,n_years,start_year,end_year,2019_test_r2,2020_test_r2,2021_test_r2,2022_test_r2,2023_test_r2,2024_test_r2
US-xAB,0.11,0.69,6.0,2019.0,2024.0,-1.57,-0.15,0.6,0.71,0.52,0.52
US-xAE,0.52,0.7,5.0,2019.0,2024.0,0.06,,0.82,0.79,0.55,0.38
US-xBL,0.17,0.54,6.0,2019.0,2024.0,-1.06,-0.24,0.1,0.77,0.64,0.81
US-xBN,-0.42,-0.39,4.0,2019.0,2024.0,-0.21,-0.53,-0.68,-0.28,,
US-xBR,0.74,0.79,6.0,2019.0,2024.0,0.8,0.83,0.58,0.78,0.73,0.72
US-xCL,0.48,0.8,6.0,2019.0,2024.0,0.43,-0.13,0.39,0.72,0.65,0.84
US-xCP,-131.75,0.5,6.0,2019.0,2024.0,-0.39,-791.13,0.64,-0.86,0.67,0.55
US-xDC,0.7,0.87,6.0,2019.0,2024.0,0.81,0.9,-0.1,0.84,0.82,0.94
US-xDJ,0.44,0.44,5.0,2019.0,2023.0,-0.52,0.29,0.87,0.81,0.74,
US-xDL,0.75,0.88,6.0,2019.0,2024.0,0.8,0.5,0.66,0.86,0.84,0.82
US-xDS,0.61,0.74,6.0,2019.0,2024.0,0.86,0.05,0.63,0.6,0.7,0.85
US-xGR,-0.04,0.71,6.0,2019.0,2024.0,-1.57,-0.33,0.75,0.63,0.69,-0.42
US-xHA,,,,,,,,,,,
US-xHE,-1.2,-0.17,5.0,2019.0,2024.0,-0.82,,-4.84,0.33,-1.26,0.58
US-xJE,0.51,0.78,6.0,2019.0,2024.0,-0.92,0.78,0.73,0.86,0.74,0.83
US-xJR,-0.79,-0.25,4.0,2021.0,2024.0,,,-0.47,0.37,-2.32,-0.74
US-xKA,-5.734659878125065e+27,0.76,6.0,2019.0,2024.0,0.73,-3.440795926875039e+28,0.68,0.65,0.76,0.63
US-xKZ,0.87,0.9,6.0,2019.0,2024.0,0.82,0.82,0.86,0.93,0.86,0.92
US-xMB,-0.3,0.36,6.0,2019.0,2024.0,-2.23,-0.35,-0.31,0.27,0.29,0.56
US-xML,-2.69,0.82,6.0,2019.0,2024.0,-0.03,-17.68,-0.99,0.87,0.86,0.85
US-xNG,0.53,0.51,6.0,2019.0,2024.0,0.91,0.5,-0.52,0.79,0.86,0.65
US-xNQ,-2.0500746842247405e+28,0.15,4.0,2019.0,2024.0,-0.0,,,-8.200298736898962e+28,-0.1,0.27
US-xNW,-0.02,0.24,3.0,2019.0,2022.0,0.49,,0.03,-0.56,,
US-xRM,0.26,0.87,6.0,2019.0,2024.0,0.03,-1.46,0.57,0.88,0.75,0.77
US-xRN,0.47,0.48,5.0,2020.0,2024.0,,0.36,0.36,0.56,0.54,0.52
US-xSB,0.73,0.84,6.0,2019.0,2024.0,0.24,0.82,0.83,0.77,0.83,0.9
US-xSC,0.61,0.7,4.0,2021.0,2024.0,,,0.29,0.61,0.77,0.75
US-xSE,0.5,0.77,5.0,2020.0,2024.0,,-0.81,0.76,0.86,0.77,0.92
US-xSJ,0.41,0.38,5.0,2020.0,2024.0,,0.21,0.26,0.47,0.48,0.63
US-xSL,0.43,0.52,6.0,2019.0,2024.0,0.28,0.32,0.24,0.62,0.5,0.64
US-xSR,0.26,0.59,6.0,2019.0,2024.0,0.12,-0.34,0.39,0.6,0.21,0.55
US-xST,0.72,0.92,6.0,2019.0,2024.0,0.93,0.9,0.92,0.85,0.9,-0.2
US-xTA,0.45,0.63,6.0,2019.0,2024.0,-0.07,0.71,0.68,0.0,0.6,0.74
US-xTL,,-2.26,3.0,2019.0,2024.0,,,,,-0.87,-0.19
US-xTR,0.1,0.76,6.0,2019.0,2024.0,-0.57,0.72,0.69,0.88,0.67,-1.78
US-xUK,0.86,0.93,5.0,2020.0,2024.0,,0.65,0.86,0.94,0.92,0.94
US-xUN,0.88,0.92,6.0,2019.0,2024.0,0.93,0.93,0.89,0.86,0.91,0.77
US-xWD,0.47,0.72,6.0,2019.0,2024.0,0.69,0.75,-0.68,0.5,0.77,0.78
US-xWR,0.32,0.45,6.0,2019.0,2024.0,0.66,0.75,-0.72,-0.14,0.66,0.74
US-xYE,0.5,0.84,5.0,2019.0,2024.0,0.57,-0.34,0.86,0.81,,0.6
